datetime,wq_po4_gramsPerMeterCubed_1,wq_pop_gramsPerMeterCubed_1,wq_nh4_gramsPerMeterCubed_1,wq_no3_gramsPerMeterCubed_1,wq_sio2_gramsPerMeterCubed_1,wq_po4_gramsPerMeterCubed_2,wq_pop_gramsPerMeterCubed_2,wq_nh4_gramsPerMeterCubed_2,wq_no3_gramsPerMeterCubed_2,wq_sio2_gramsPerMeterCubed_2
1990-04-18 00:00:00,0.077398928,0.031027911,0.334170951,3.926090162,3.022819246,0,0,0,0,0
1990-04-19 00:00:00,0.077582595,0.029532931,0.300807096,3.98582535,2.800520332,0,0,0,0,0
1990-04-20 00:00:00,0.078400649,0.029807426,0.303527595,3.970196548,2.79429177,0,0,0,0,0
1990-04-21 00:00:00,0.07970824,0.030717911,0.316622502,3.90823144,2.847365111,0,0,0,0,0
1990-04-22 00:00:00,0.079567084,0.02954728,0.297061652,3.94664544,2.733112007,0,0,0,0,0
1990-04-23 00:00:00,0.07937645,0.028321079,0.276941025,3.987765494,2.617565608,0,0,0,0,0
1990-04-24 00:00:00,0.079389352,0.02749161,0.263307456,4.023823819,2.532575969,0,0,0,0,0
1990-04-25 00:00:00,0.079577737,0.027148461,0.258757089,4.049851996,2.496046574,0,0,0,0,0
1990-04-26 00:00:00,0.081820664,0.030260272,0.312723335,3.896201366,2.781156395,0,0,0,0,0
1990-04-27 00:00:00,0.083824111,0.031628482,0.327086719,3.824969282,2.813781199,0,0,0,0,0
1990-04-28 00:00:00,0.08421295,0.031426789,0.322235897,3.860699413,2.759613058,0,0,0,0,0
1990-04-29 00:00:00,0.084325203,0.030829576,0.313047625,3.889430664,2.698051516,0,0,0,0,0
1990-04-30 00:00:00,0.084258874,0.030007757,0.301034789,3.924595115,2.625990458,0,0,0,0,0
1990-05-01 00:00:00,0.084032727,0.029001314,0.286159193,3.977630349,2.536860093,0,0,0,0,0
1990-05-02 00:00:00,0.083893517,0.028260226,0.27580592,4.03076435,2.469187087,0,0,0,0,0
1990-05-03 00:00:00,0.08381094,0.027692262,0.268310439,4.085440769,2.41402781,0,0,0,0,0
1990-05-04 00:00:00,0.083806627,0.027288407,0.263426374,4.138187785,2.37067336,0,0,0,0,0
1990-05-05 00:00:00,0.083817875,0.027086284,0.262797155,4.185439237,2.352871474,0,0,0,0,0
1990-05-06 00:00:00,0.083776509,0.026866794,0.262044122,4.240532117,2.332663436,0,0,0,0,0
1990-05-07 00:00:00,0.083923966,0.02685515,0.264260182,4.277574629,2.328520693,0,0,0,0,0
1990-05-08 00:00:00,0.087602225,0.031989551,0.349735113,3.915685638,2.815937765,0,0,0,0,0
1990-05-09 00:00:00,0.091571086,0.036544862,0.409641233,3.739068047,3.061857143,0,0,0,0,0
1990-05-10 00:00:00,0.094987321,0.039883637,0.445715693,3.645965302,3.166778539,0,0,0,0,0
1990-05-11 00:00:00,0.095502458,0.039520745,0.437476217,3.653915485,3.102855747,0,0,0,0,0
1990-05-12 00:00:00,0.094693513,0.036962457,0.400684021,3.691850975,2.924523352,0,0,0,0,0
1990-05-13 00:00:00,0.094873348,0.035578806,0.378186181,3.68054268,2.809230692,0,0,0,0,0
1990-05-14 00:00:00,0.094483018,0.033842187,0.352267067,3.723542869,2.67078959,0,0,0,0,0
1990-05-15 00:00:00,0.094307784,0.032435079,0.330494937,3.761944796,2.548554728,0,0,0,0,0
1990-05-16 00:00:00,0.094724285,0.031549405,0.314057313,3.769092383,2.447046615,0,0,0,0,0
1990-05-17 00:00:00,0.095260433,0.031196388,0.307013095,3.766843993,2.395170985,0,0,0,0,0
1990-05-18 00:00:00,0.095324186,0.030831733,0.302715937,3.799647936,2.357607152,0,0,0,0,0
1990-05-19 00:00:00,0.095142618,0.031149628,0.315301011,3.795132974,2.441665485,0,0,0,0,0
1990-05-20 00:00:00,0.095098901,0.030778539,0.311328112,3.837438277,2.40449283,0,0,0,0,0
1990-05-21 00:00:00,0.095298425,0.030057708,0.296937814,3.916906539,2.278849415,0,0,0,0,0
1990-05-22 00:00:00,0.095264778,0.029935798,0.297736271,3.956820337,2.266586984,0,0,0,0,0
1990-05-23 00:00:00,0.095643847,0.03053178,0.310762892,3.93005958,2.337707205,0,0,0,0,0
1990-05-24 00:00:00,0.095514565,0.030459108,0.313177649,3.970623768,2.337020526,0,0,0,0,0
1990-05-25 00:00:00,0.095290359,0.030172542,0.311495192,4.036130209,2.304303577,0,0,0,0,0
1990-05-26 00:00:00,0.096713053,0.031720701,0.335695802,3.91612951,2.438295555,0,0,0,0,0
1990-05-27 00:00:00,0.09885631,0.036051831,0.405816362,3.727315232,2.821606528,0,0,0,0,0
1990-05-28 00:00:00,0.101952369,0.03962725,0.449237764,3.594225492,2.997678518,0,0,0,0,0
1990-05-29 00:00:00,0.10222449,0.04013788,0.45797467,3.613782003,3.022692294,0,0,0,0,0
1990-05-30 00:00:00,0.101932263,0.039925261,0.460648108,3.611268976,3.050947914,0,0,0,0,0
1990-05-31 00:00:00,0.100874971,0.037238216,0.42335355,3.68974653,2.85535698,0,0,0,0,0
1990-06-01 00:00:00,0.100182681,0.034197382,0.374520756,3.806736695,2.562277341,0,0,0,0,0
1990-06-02 00:00:00,0.09986738,0.033474723,0.366700962,3.835644602,2.519095616,0,0,0,0,0
1990-06-03 00:00:00,0.099678084,0.032857407,0.35934338,3.868053378,2.470549553,0,0,0,0,0
1990-06-04 00:00:00,0.099570567,0.031972181,0.345186478,3.932566957,2.363152323,0,0,0,0,0
1990-06-05 00:00:00,0.099445129,0.031607017,0.341404309,3.970179104,2.326125766,0,0,0,0,0
1990-06-06 00:00:00,0.099807244,0.031821204,0.345586446,3.953399177,2.340176322,0,0,0,0,0
1990-06-07 00:00:00,0.099577013,0.033213061,0.378998767,3.833170166,2.596879907,0,0,0,0,0
1990-06-08 00:00:00,0.100156705,0.031730469,0.345960062,3.970017418,2.31220617,0,0,0,0,0
1990-06-09 00:00:00,0.099285006,0.032182722,0.364026605,3.962851805,2.448325053,0,0,0,0,0
1990-06-10 00:00:00,0.098723221,0.032170255,0.369961736,3.992743278,2.484184069,0,0,0,0,0
1990-06-11 00:00:00,0.098710573,0.031234169,0.352481942,4.105869684,2.320861896,0,0,0,0,0
1990-06-12 00:00:00,0.098120067,0.03095585,0.353014571,4.162628764,2.313446898,0,0,0,0,0
1990-06-13 00:00:00,0.097420924,0.030678141,0.354305584,4.22385979,2.312550018,0,0,0,0,0
1990-06-14 00:00:00,0.096658007,0.030337815,0.354608503,4.296289291,2.303350417,0,0,0,0,0
1990-06-15 00:00:00,0.09585759,0.029988929,0.35492905,4.37300295,2.293890226,0,0,0,0,0
1990-06-16 00:00:00,0.09502841,0.02965716,0.355692105,4.450716949,2.288041573,0,0,0,0,0
1990-06-17 00:00:00,0.094210587,0.029299541,0.355694997,4.535036206,2.274469938,0,0,0,0,0
1990-06-18 00:00:00,0.093288673,0.029049306,0.358710389,4.608119907,2.289174544,0,0,0,0,0
1990-06-19 00:00:00,0.092322615,0.02874944,0.360901765,4.690978517,2.297099008,0,0,0,0,0
1990-06-20 00:00:00,0.091334535,0.028396139,0.362047705,4.785222127,2.295217041,0,0,0,0,0
1990-06-21 00:00:00,0.090337344,0.028035802,0.362968107,4.884856337,2.290543361,0,0,0,0,0
1990-06-22 00:00:00,0.089310722,0.027729707,0.365231428,4.979115488,2.298748576,0,0,0,0,0
1990-06-23 00:00:00,0.087666825,0.027618078,0.376476484,5.017059996,2.423622565,0,0,0,0,0
1990-06-24 00:00:00,0.087247538,0.027087635,0.368877679,5.182129665,2.306478907,0,0,0,0,0
1990-06-25 00:00:00,0.086616656,0.026862296,0.369837229,5.252201983,2.300094059,0,0,0,0,0
1990-06-26 00:00:00,0.086939894,0.027779531,0.387747318,5.094382237,2.448550957,0,0,0,0,0
